area,iscrowd,image_id,bbox,category_id,box_id,file_name,height,width,street_id,supercategory
72,0,245,"[842, 369, 8, 9]",2,110,245.png,626,1622,3,Cấm dừng và đỗ
1260,0,250,"[882, 250, 35, 36]",2,114,250.png,626,1622,8,Cấm dừng và đỗ
6596,0,254,"[1411, 178, 97, 68]",2,115,254.png,626,1622,7,Cấm dừng và đỗ
42,0,257,"[816, 225, 7, 6]",2,120,257.png,626,1622,7,Cấm dừng và đỗ
6630,0,270,"[1013, 48, 85, 78]",2,126,270.png,626,1622,7,Cấm dừng và đỗ
1804,0,283,"[972, 243, 44, 41]",2,129,283.png,626,1622,8,Cấm dừng và đỗ
10191,0,284,"[1322, 199, 129, 79]",2,130,284.png,626,1622,3,Cấm dừng và đỗ
64,0,284,"[981, 359, 8, 8]",2,132,284.png,626,1622,3,Cấm dừng và đỗ
9204,0,296,"[1236, 143, 118, 78]",2,138,296.png,626,1622,3,Cấm dừng và đỗ
1886,0,308,"[985, 276, 46, 41]",2,139,308.png,626,1622,3,Cấm dừng và đỗ
960,0,308,"[74, 314, 40, 24]",2,140,308.png,626,1622,3,Cấm dừng và đỗ
1224,0,317,"[826, 368, 34, 36]",2,141,317.png,626,1622,4,Cấm dừng và đỗ
1120,0,322,"[976, 356, 35, 32]",2,142,322.png,626,1622,3,Cấm dừng và đỗ
56,0,334,"[794, 391, 7, 8]",2,147,334.png,626,1622,4,Cấm dừng và đỗ
380,0,339,"[1048, 328, 20, 19]",2,150,339.png,626,1622,3,Cấm dừng và đỗ
35,0,348,"[764, 482, 7, 5]",2,156,348.png,626,1622,4,Cấm dừng và đỗ
784,0,353,"[1121, 282, 28, 28]",2,157,353.png,626,1622,13,Cấm dừng và đỗ
1640,0,354,"[19, 218, 41, 40]",2,158,354.png,626,1622,7,Cấm dừng và đỗ
1023,0,355,"[917, 188, 33, 31]",2,160,355.png,626,1622,7,Cấm dừng và đỗ
25,0,365,"[894, 373, 5, 5]",2,166,365.png,626,1622,7,Cấm dừng và đỗ
154,0,365,"[1165, 350, 11, 14]",2,167,365.png,626,1622,7,Cấm dừng và đỗ
483,0,375,"[787, 420, 23, 21]",2,170,375.png,626,1622,4,Cấm dừng và đỗ
42,0,379,"[788, 371, 6, 7]",2,173,379.png,626,1622,3,Cấm dừng và đỗ
336,0,387,"[1002, 395, 21, 16]",2,177,387.png,626,1622,3,Cấm dừng và đỗ
1394,0,391,"[951, 219, 34, 41]",2,178,391.png,626,1622,7,Cấm dừng và đỗ
16,0,399,"[791, 482, 4, 4]",2,185,399.png,626,1622,12,Cấm dừng và đỗ
1330,0,403,"[919, 180, 38, 35]",2,187,403.png,626,1622,7,Cấm dừng và đỗ
144,0,404,"[860, 274, 12, 12]",2,191,404.png,626,1622,13,Cấm dừng và đỗ
144,0,404,"[860, 250, 12, 12]",2,192,404.png,626,1622,13,Cấm dừng và đỗ
4216,0,411,"[947, 232, 68, 62]",2,193,411.png,626,1622,8,Cấm dừng và đỗ
132,0,412,"[1016, 347, 12, 11]",2,195,412.png,626,1622,3,Cấm dừng và đỗ
825,0,417,"[860, 258, 33, 25]",2,198,417.png,626,1622,13,Cấm dừng và đỗ
756,0,417,"[863, 205, 28, 27]",2,199,417.png,626,1622,13,Cấm dừng và đỗ
99,0,427,"[888, 299, 11, 9]",2,201,427.png,626,1622,13,Cấm dừng và đỗ
120,0,427,"[885, 278, 12, 10]",2,202,427.png,626,1622,13,Cấm dừng và đỗ
11094,0,445,"[1435, 240, 129, 86]",2,207,445.png,626,1622,3,Cấm dừng và đỗ
576,0,457,"[905, 242, 24, 24]",2,213,457.png,626,1622,13,Cấm dừng và đỗ
11466,0,459,"[1530, 98, 91, 126]",2,218,459.png,626,1622,3,Cấm dừng và đỗ
72,0,472,"[834, 222, 9, 8]",2,225,472.png,626,1622,7,Cấm dừng và đỗ
49,0,474,"[807, 215, 7, 7]",2,226,474.png,626,1622,7,Cấm dừng và đỗ
3480,0,483,"[990, 186, 60, 58]",2,228,483.png,626,1622,7,Cấm dừng và đỗ
285,0,483,"[287, 210, 15, 19]",2,230,483.png,626,1622,7,Cấm dừng và đỗ
1677,0,491,"[1110, 269, 39, 43]",2,234,491.png,626,1622,3,Cấm dừng và đỗ
729,0,499,"[839, 273, 27, 27]",2,235,499.png,626,1622,8,Cấm dừng và đỗ
120,0,525,"[867, 309, 12, 10]",2,249,525.png,626,1622,8,Cấm dừng và đỗ
99,0,528,"[786, 463, 11, 9]",2,250,528.png,626,1622,4,Cấm dừng và đỗ
1584,0,558,"[1348, 181, 33, 48]",2,261,558.png,626,1622,13,Cấm dừng và đỗ
1302,0,558,"[1338, 261, 31, 42]",2,262,558.png,626,1622,13,Cấm dừng và đỗ
11656,0,560,"[1051, 113, 124, 94]",2,263,560.png,626,1622,3,Cấm dừng và đỗ
4002,0,567,"[1314, 190, 69, 58]",2,266,567.png,626,1622,7,Cấm dừng và đỗ
8281,0,569,"[326, 66, 91, 91]",2,269,569.png,626,1622,1,Cấm dừng và đỗ
168,0,591,"[924, 335, 12, 14]",2,276,591.png,626,1622,3,Cấm dừng và đỗ
1452,0,591,"[1533, 297, 44, 33]",2,279,591.png,626,1622,3,Cấm dừng và đỗ
168,0,608,"[850, 462, 14, 12]",2,286,608.png,626,1622,4,Cấm dừng và đỗ
480,0,610,"[810, 322, 24, 20]",2,288,610.png,626,1622,8,Cấm dừng và đỗ
49,0,618,"[758, 473, 7, 7]",2,294,618.png,626,1622,4,Cấm dừng và đỗ
783,0,622,"[979, 216, 29, 27]",2,295,622.png,626,1622,7,Cấm dừng và đỗ
2024,0,628,"[824, 257, 46, 44]",2,299,628.png,626,1622,8,Cấm dừng và đỗ
100,0,629,"[815, 288, 10, 10]",2,300,629.png,626,1622,13,Cấm dừng và đỗ
81,0,629,"[815, 307, 9, 9]",2,301,629.png,626,1622,13,Cấm dừng và đỗ
1120,0,642,"[1012, 296, 32, 35]",2,305,642.png,626,1622,8,Cấm dừng và đỗ
980,0,652,"[1601, 370, 20, 49]",2,307,652.png,626,1622,5,Cấm dừng và đỗ
2808,0,660,"[1169, 175, 52, 54]",2,310,660.png,626,1622,7,Cấm dừng và đỗ
650,0,669,"[843, 427, 25, 26]",2,313,669.png,626,1622,4,Cấm dừng và đỗ
80,0,673,"[853, 356, 10, 8]",2,315,673.png,626,1622,3,Cấm dừng và đỗ
56,0,674,"[792, 485, 7, 8]",2,316,674.png,626,1622,4,Cấm dừng và đỗ
1406,0,697,"[847, 270, 37, 38]",2,321,697.png,626,1622,8,Cấm dừng và đỗ
11716,0,698,"[971, 87, 116, 101]",2,322,698.png,626,1622,8,Cấm dừng và đỗ
64,0,716,"[792, 365, 8, 8]",2,331,716.png,626,1622,3,Cấm dừng và đỗ
506,0,732,"[922, 242, 23, 22]",2,338,732.png,626,1622,8,Cấm dừng và đỗ
675,0,732,"[279, 204, 25, 27]",2,339,732.png,626,1622,8,Cấm dừng và đỗ
195,0,739,"[819, 465, 15, 13]",2,344,739.png,626,1622,4,Cấm dừng và đỗ
3021,0,750,"[1087, 199, 57, 53]",2,346,750.png,626,1622,8,Cấm dừng và đỗ
2597,0,753,"[487, 166, 53, 49]",2,348,753.png,626,1622,1,Cấm dừng và đỗ
4554,0,758,"[803, 122, 66, 69]",2,353,758.png,626,1622,13,Cấm dừng và đỗ
9646,0,762,"[1530, 32, 91, 106]",2,354,762.png,626,1622,3,Cấm dừng và đỗ
2205,0,782,"[806, 208, 45, 49]",2,362,782.png,626,1622,4,Cấm dừng và đỗ
380,0,796,"[919, 288, 19, 20]",2,369,796.png,626,1622,13,Cấm dừng và đỗ
306,0,807,"[816, 191, 18, 17]",2,376,807.png,626,1622,7,Cấm dừng và đỗ
306,0,810,"[778, 435, 17, 18]",2,379,810.png,626,1622,4,Cấm dừng và đỗ
4864,0,816,"[1389, 72, 64, 76]",2,382,816.png,626,1622,13,Cấm dừng và đỗ
5904,0,816,"[1379, 211, 72, 82]",2,383,816.png,626,1622,13,Cấm dừng và đỗ
616,0,817,"[210, 178, 22, 28]",2,385,817.png,626,1622,7,Cấm dừng và đỗ
340,0,828,"[1066, 407, 20, 17]",2,390,828.png,626,1622,12,Cấm dừng và đỗ
3960,0,833,"[1270, 148, 60, 66]",2,393,833.png,626,1622,7,Cấm dừng và đỗ
340,0,834,"[890, 252, 20, 17]",2,394,834.png,626,1622,8,Cấm dừng và đỗ
272,0,840,"[326, 213, 17, 16]",2,398,840.png,626,1622,7,Cấm dừng và đỗ
156,0,840,"[810, 217, 13, 12]",2,399,840.png,626,1622,7,Cấm dừng và đỗ
2025,0,846,"[1019, 166, 45, 45]",2,400,846.png,626,1622,7,Cấm dừng và đỗ
1886,0,851,"[1126, 285, 41, 46]",2,403,851.png,626,1622,3,Cấm dừng và đỗ
1640,0,853,"[1122, 230, 40, 41]",2,405,853.png,626,1622,8,Cấm dừng và đỗ
143,0,867,"[816, 357, 13, 11]",2,414,867.png,626,1622,3,Cấm dừng và đỗ
132,0,868,"[805, 461, 11, 12]",2,416,868.png,626,1622,4,Cấm dừng và đỗ
2112,0,870,"[1030, 200, 44, 48]",2,418,870.png,626,1622,8,Cấm dừng và đỗ
1886,0,872,"[1086, 310, 41, 46]",2,419,872.png,626,1622,4,Cấm dừng và đỗ
1558,0,900,"[919, 204, 38, 41]",2,423,900.png,626,1622,8,Cấm dừng và đỗ
1840,0,902,"[981, 160, 40, 46]",2,425,902.png,626,1622,7,Cấm dừng và đỗ
110,0,905,"[796, 360, 10, 11]",2,428,905.png,626,1622,3,Cấm dừng và đỗ
380,0,925,"[893, 221, 20, 19]",2,438,925.png,626,1622,7,Cấm dừng và đỗ
323,0,927,"[855, 204, 19, 17]",2,439,927.png,626,1622,7,Cấm dừng và đỗ
575,0,929,"[912, 192, 23, 25]",2,441,929.png,626,1622,7,Cấm dừng và đỗ
2450,0,935,"[1061, 335, 50, 49]",2,447,935.png,626,1622,3,Cấm dừng và đỗ
5133,0,935,"[48, 264, 87, 59]",2,450,935.png,626,1622,3,Cấm dừng và đỗ
36,0,957,"[793, 403, 6, 6]",2,456,957.png,626,1622,4,Cấm dừng và đỗ
132,0,971,"[809, 291, 12, 11]",2,458,971.png,626,1622,8,Cấm dừng và đỗ
15318,0,987,"[1130, 55, 138, 111]",2,462,987.png,626,1622,4,Cấm dừng và đỗ
510,0,994,"[1103, 210, 17, 30]",2,464,994.png,626,1622,8,Cấm dừng và đỗ
440,0,994,"[926, 216, 22, 20]",2,465,994.png,626,1622,8,Cấm dừng và đỗ
440,0,994,"[925, 216, 22, 20]",2,466,994.png,626,1622,8,Cấm dừng và đỗ
405,0,994,"[1105, 211, 15, 27]",2,467,994.png,626,1622,8,Cấm dừng và đỗ
81,0,1000,"[873, 298, 9, 9]",2,470,1000.png,626,1622,15,Cấm dừng và đỗ
840,0,1016,"[801, 333, 30, 28]",2,482,1016.png,626,1622,19,Cấm dừng và đỗ
2970,0,1030,"[908, 209, 54, 55]",2,489,1030.png,626,1622,15,Cấm dừng và đỗ
36,0,1036,"[623, 362, 6, 6]",2,500,1036.png,626,1622,19,Cấm dừng và đỗ
64,0,1046,"[650, 363, 8, 8]",2,508,1046.png,626,1622,19,Cấm dừng và đỗ
2450,0,1054,"[910, 330, 49, 50]",2,510,1054.png,626,1622,24,Cấm dừng và đỗ
2024,0,1078,"[879, 163, 46, 44]",2,522,1078.png,626,1622,24,Cấm dừng và đỗ
4736,0,1083,"[1474, 301, 74, 64]",2,523,1083.png,626,1622,24,Cấm dừng và đỗ
420,0,1113,"[915, 359, 21, 20]",2,542,1113.png,626,1622,20,Cấm dừng và đỗ
90,0,1114,"[843, 305, 9, 10]",2,545,1114.png,626,1622,15,Cấm dừng và đỗ
270,0,1146,"[417, 280, 18, 15]",2,553,1146.png,626,1622,22,Cấm dừng và đỗ
2256,0,1151,"[940, 212, 47, 48]",2,566,1151.png,626,1622,15,Cấm dừng và đỗ
132,0,1151,"[811, 331, 12, 11]",2,567,1151.png,626,1622,15,Cấm dừng và đỗ
1800,0,1154,"[1072, 371, 40, 45]",2,569,1154.png,626,1622,24,Cấm dừng và đỗ
624,0,1156,"[1123, 250, 26, 24]",2,570,1156.png,626,1622,15,Cấm dừng và đỗ
400,0,1158,"[631, 413, 20, 20]",2,573,1158.png,626,1622,24,Cấm dừng và đỗ
1190,0,1160,"[769, 372, 34, 35]",2,574,1160.png,626,1622,15,Cấm dừng và đỗ
1640,0,1162,"[600, 244, 41, 40]",2,577,1162.png,626,1622,19,Cấm dừng và đỗ
899,0,1167,"[593, 398, 31, 29]",2,579,1167.png,626,1622,19,Cấm dừng và đỗ
961,0,1167,"[838, 446, 31, 31]",2,585,1167.png,626,1622,19,Cấm dừng và đỗ
3510,0,1180,"[1390, 172, 65, 54]",2,590,1180.png,626,1622,15,Cấm dừng và đỗ
11772,0,1193,"[1147, 120, 109, 108]",2,596,1193.png,626,1622,20,Cấm dừng và đỗ
1088,0,1203,"[705, 260, 32, 34]",2,599,1203.png,626,1622,22,Cấm dừng và đỗ
2448,0,1204,"[715, 346, 48, 51]",2,600,1204.png,626,1622,19,Cấm dừng và đỗ
361,0,1232,"[759, 263, 19, 19]",2,609,1232.png,626,1622,20,Cấm dừng và đỗ
1330,0,1250,"[911, 318, 38, 35]",2,613,1250.png,626,1622,22,Cấm dừng và đỗ
323,0,1250,"[1286, 380, 19, 17]",2,615,1250.png,626,1622,22,Cấm dừng và đỗ
132,0,1254,"[811, 435, 12, 11]",2,624,1254.png,626,1622,15,Cấm dừng và đỗ
4278,0,1285,"[903, 331, 69, 62]",2,628,1285.png,626,1622,24,Cấm dừng và đỗ
506,0,1290,"[1233, 301, 23, 22]",2,636,1290.png,626,1622,19,Cấm dừng và đỗ
650,0,1306,"[406, 211, 26, 25]",2,647,1306.png,626,1622,19,Cấm dừng và đỗ
2200,0,1308,"[1282, 341, 50, 44]",2,657,1308.png,626,1622,19,Cấm dừng và đỗ
247,0,1313,"[1132, 291, 13, 19]",2,661,1313.png,626,1622,15,Cấm dừng và đỗ
110,0,1313,"[850, 304, 10, 11]",2,662,1313.png,626,1622,15,Cấm dừng và đỗ
2401,0,1338,"[893, 360, 49, 49]",2,666,1338.png,626,1622,24,Cấm dừng và đỗ
992,0,1341,"[855, 304, 32, 31]",2,667,1341.png,626,1622,15,Cấm dừng và đỗ
1258,0,1351,"[863, 260, 37, 34]",2,674,1351.png,626,1622,15,Cấm dừng và đỗ
289,0,1362,"[705, 352, 17, 17]",2,675,1362.png,626,1622,19,Cấm dừng và đỗ
120,0,1362,"[670, 338, 10, 12]",2,676,1362.png,626,1622,19,Cấm dừng và đỗ
252,0,1398,"[535, 199, 18, 14]",2,682,1398.png,626,1622,20,Cấm dừng và đỗ
36,0,1398,"[708, 281, 6, 6]",2,687,1398.png,626,1622,20,Cấm dừng và đỗ
3850,0,1408,"[93, 173, 70, 55]",2,689,1408.png,626,1622,15,Cấm dừng và đỗ
1520,0,1408,"[1141, 142, 40, 38]",2,690,1408.png,626,1622,15,Cấm dừng và đỗ
8835,0,1423,"[935, 267, 95, 93]",2,695,1423.png,626,1622,24,Cấm dừng và đỗ
210,0,1451,"[478, 297, 15, 14]",2,706,1451.png,626,1622,19,Cấm dừng và đỗ
225,0,1451,"[590, 312, 15, 15]",2,707,1451.png,626,1622,19,Cấm dừng và đỗ
702,0,1455,"[986, 364, 27, 26]",2,709,1455.png,626,1622,24,Cấm dừng và đỗ
1360,0,1455,"[1271, 349, 34, 40]",2,710,1455.png,626,1622,24,Cấm dừng và đỗ
100,0,1471,"[723, 285, 10, 10]",2,716,1471.png,626,1622,20,Cấm dừng và đỗ
1600,0,1474,"[899, 308, 40, 40]",2,718,1474.png,626,1622,15,Cấm dừng và đỗ
6270,0,1479,"[1217, 327, 66, 95]",2,720,1479.png,626,1622,16,Cấm dừng và đỗ
272,0,1494,"[907, 440, 17, 16]",2,735,1494.png,626,1622,19,Cấm dừng và đỗ
342,0,1494,"[1080, 475, 19, 18]",2,737,1494.png,626,1622,19,Cấm dừng và đỗ
650,0,1504,"[596, 231, 26, 25]",2,743,1504.png,626,1622,18,Cấm dừng và đỗ
42,0,1515,"[802, 314, 7, 6]",2,746,1515.png,626,1622,15,Cấm dừng và đỗ
360,0,1523,"[1039, 384, 20, 18]",2,750,1523.png,626,1622,20,Cấm dừng và đỗ
108,0,1528,"[1270, 469, 12, 9]",2,754,1528.png,626,1622,20,Cấm dừng và đỗ
169,0,1528,"[1161, 408, 13, 13]",2,757,1528.png,626,1622,20,Cấm dừng và đỗ
240,0,1528,"[1006, 390, 16, 15]",2,763,1528.png,626,1622,20,Cấm dừng và đỗ
1295,0,1537,"[862, 291, 35, 37]",2,765,1537.png,626,1622,15,Cấm dừng và đỗ
156,0,1547,"[686, 356, 12, 13]",2,769,1547.png,626,1622,19,Cấm dừng và đỗ
1190,0,1567,"[826, 126, 35, 34]",2,772,1567.png,626,1622,18,Cấm dừng và đỗ
3894,0,1571,"[759, 184, 59, 66]",2,776,1571.png,626,1622,18,Cấm dừng và đỗ
3840,0,1576,"[1009, 211, 64, 60]",2,777,1576.png,626,1622,15,Cấm dừng và đỗ
195,0,1578,"[444, 346, 13, 15]",2,786,1578.png,626,1622,19,Cấm dừng và đỗ
256,0,1579,"[1299, 461, 16, 16]",2,787,1579.png,626,1622,19,Cấm dừng và đỗ
228,0,1590,"[1062, 438, 12, 19]",2,797,1590.png,626,1622,15,Cấm dừng và đỗ
72,0,1590,"[731, 417, 8, 9]",2,798,1590.png,626,1622,15,Cấm dừng và đỗ
117,0,1590,"[446, 421, 9, 13]",2,799,1590.png,626,1622,15,Cấm dừng và đỗ
72,0,1593,"[752, 331, 9, 8]",2,800,1593.png,626,1622,19,Cấm dừng và đỗ
36,0,1625,"[700, 267, 6, 6]",2,811,1625.png,626,1622,20,Cấm dừng và đỗ
289,0,1627,"[1169, 394, 17, 17]",2,815,1627.png,626,1622,20,Cấm dừng và đỗ
399,0,1627,"[958, 384, 21, 19]",2,818,1627.png,626,1622,20,Cấm dừng và đỗ
3185,0,1640,"[1428, 285, 65, 49]",2,826,1640.png,626,1622,19,Cấm dừng và đỗ
1365,0,1643,"[658, 323, 35, 39]",2,829,1643.png,626,1622,19,Cấm dừng và đỗ
4292,0,1643,"[190, 115, 74, 58]",2,831,1643.png,626,1622,19,Cấm dừng và đỗ
306,0,1654,"[781, 351, 17, 18]",2,840,1654.png,626,1622,19,Cấm dừng và đỗ
42,0,1654,"[623, 362, 6, 7]",2,841,1654.png,626,1622,19,Cấm dừng và đỗ
42,0,1657,"[525, 251, 7, 6]",2,842,1657.png,626,1622,18,Cấm dừng và đỗ
156,0,1661,"[736, 278, 12, 13]",2,843,1661.png,626,1622,20,Cấm dừng và đỗ
25,0,1672,"[658, 305, 5, 5]",2,847,1672.png,626,1622,19,Cấm dừng và đỗ
36,0,1672,"[708, 314, 6, 6]",2,848,1672.png,626,1622,19,Cấm dừng và đỗ
1406,0,1673,"[471, 204, 38, 37]",2,856,1673.png,626,1622,20,Cấm dừng và đỗ
552,0,1674,"[788, 340, 24, 23]",2,857,1674.png,626,1622,19,Cấm dừng và đỗ
437,0,1693,"[1327, 456, 23, 19]",2,861,1693.png,626,1622,19,Cấm dừng và đỗ
168,0,1693,"[1086, 438, 14, 12]",2,863,1693.png,626,1622,19,Cấm dừng và đỗ
1404,0,1700,"[891, 318, 36, 39]",2,865,1700.png,626,1622,19,Cấm dừng và đỗ
437,0,1719,"[1156, 406, 23, 19]",2,871,1719.png,626,1622,19,Cấm dừng và đỗ
26533,0,1724,"[1229, 96, 169, 157]",2,875,1724.png,626,1622,15,Cấm dừng và đỗ
1015,0,1725,"[838, 318, 29, 35]",2,879,1725.png,626,1622,19,Cấm dừng và đỗ
80,0,1726,"[871, 369, 10, 8]",2,880,1726.png,626,1622,22,Cấm dừng và đỗ
100,0,1727,"[661, 361, 10, 10]",2,881,1727.png,626,1622,19,Cấm dừng và đỗ
49,0,1729,"[655, 301, 7, 7]",2,883,1729.png,626,1622,19,Cấm dừng và đỗ
240,0,1735,"[645, 363, 16, 15]",2,889,1735.png,626,1622,20,Cấm dừng và đỗ
4320,0,1756,"[1271, 387, 72, 60]",2,900,1756.png,626,1622,20,Cấm dừng và đỗ
342,0,1761,"[814, 276, 18, 19]",2,902,1761.png,626,1622,22,Cấm dừng và đỗ
224,0,1766,"[1026, 331, 14, 16]",2,904,1766.png,626,1622,15,Cấm dừng và đỗ
156,0,1768,"[625, 217, 13, 12]",2,905,1768.png,626,1622,18,Cấm dừng và đỗ
6177,0,1782,"[884, 214, 71, 87]",2,907,1782.png,626,1622,19,Cấm dừng và đỗ
272,0,1791,"[955, 284, 17, 16]",2,913,1791.png,626,1622,15,Cấm dừng và đỗ
2958,0,1802,"[1195, 0, 102, 29]",2,916,1802.png,626,1622,18,Cấm dừng và đỗ
1150,0,1804,"[613, 223, 23, 50]",2,918,1804.png,626,1622,15,Cấm dừng và đỗ
56,0,1811,"[633, 358, 8, 7]",2,927,1811.png,626,1622,19,Cấm dừng và đỗ
525,0,1813,"[977, 299, 15, 35]",2,932,1813.png,626,1622,15,Cấm dừng và đỗ
225,0,1813,"[845, 332, 15, 15]",2,933,1813.png,626,1622,15,Cấm dừng và đỗ
3477,0,1814,"[1455, 328, 57, 61]",2,934,1814.png,626,1622,15,Cấm dừng và đỗ
462,0,1814,"[866, 304, 22, 21]",2,936,1814.png,626,1622,15,Cấm dừng và đỗ
56,0,1814,"[811, 352, 8, 7]",2,937,1814.png,626,1622,15,Cấm dừng và đỗ
600,0,1817,"[699, 261, 25, 24]",2,938,1817.png,626,1622,19,Cấm dừng và đỗ
1680,0,1820,"[806, 139, 40, 42]",2,944,1820.png,626,1622,15,Cấm dừng và đỗ
3135,0,1827,"[379, 335, 55, 57]",2,951,1827.png,626,1622,19,Cấm dừng và đỗ
16,0,1836,"[654, 311, 4, 4]",2,955,1836.png,626,1622,19,Cấm dừng và đỗ
4400,0,1841,"[1239, 259, 55, 80]",2,957,1841.png,626,1622,19,Cấm dừng và đỗ
460,0,1846,"[578, 363, 23, 20]",2,958,1846.png,626,1622,19,Cấm dừng và đỗ
810,0,1846,"[368, 287, 30, 27]",2,960,1846.png,626,1622,19,Cấm dừng và đỗ
754,0,1852,"[861, 318, 26, 29]",2,967,1852.png,626,1622,15,Cấm dừng và đỗ
576,0,1853,"[1151, 347, 24, 24]",2,968,1853.png,626,1622,20,Cấm dừng và đỗ
360,0,1853,"[1304, 385, 18, 20]",2,972,1853.png,626,1622,20,Cấm dừng và đỗ
288,0,1853,"[1566, 492, 18, 16]",2,975,1853.png,626,1622,20,Cấm dừng và đỗ
56,0,1859,"[813, 311, 7, 8]",2,979,1859.png,626,1622,15,Cấm dừng và đỗ
4745,0,1861,"[1220, 240, 73, 65]",2,980,1861.png,626,1622,20,Cấm dừng và đỗ
10890,0,1869,"[1251, 152, 110, 99]",2,986,1869.png,626,1622,15,Cấm dừng và đỗ
270,0,1874,"[979, 350, 18, 15]",2,990,1874.png,626,1622,20,Cấm dừng và đỗ
841,0,1878,"[809, 248, 29, 29]",2,993,1878.png,626,1622,20,Cấm dừng và đỗ
196,0,1880,"[845, 275, 14, 14]",2,995,1880.png,626,1622,22,Cấm dừng và đỗ
49,0,1902,"[637, 365, 7, 7]",2,999,1902.png,626,1622,19,Cấm dừng và đỗ
780,0,1906,"[892, 308, 30, 26]",2,1000,1906.png,626,1622,15,Cấm dừng và đỗ
16770,0,1908,"[1077, 37, 129, 130]",2,1001,1908.png,626,1622,15,Cấm dừng và đỗ
1368,0,1913,"[745, 372, 38, 36]",2,1004,1913.png,626,1622,24,Cấm dừng và đỗ
644,0,1917,"[783, 383, 23, 28]",2,1005,1917.png,626,1622,15,Cấm dừng và đỗ
20,0,1941,"[622, 363, 4, 5]",2,1014,1941.png,626,1622,19,Cấm dừng và đỗ
754,0,1952,"[550, 258, 29, 26]",2,1019,1952.png,626,1622,19,Cấm dừng và đỗ
2912,0,1955,"[902, 347, 56, 52]",2,1022,1955.png,626,1622,24,Cấm dừng và đỗ
80,0,1961,"[626, 126, 10, 8]",2,1030,1961.png,626,1622,22,Cấm dừng và đỗ
